# this file should have to columns to query for relation <entity1>\t<entity2>
gene_set	subtype
GO:0001655	Basal-like
GO:0002067	Basal-like
GO:0002070	Basal-like
GO:0002162	Basal-like
GO:0003006	Basal-like
GO:0005488	Basal-like
GO:0005623	Basal-like
GO:0005737	Basal-like
GO:0007275	Basal-like
GO:0009653	Basal-like
GO:0009750	Basal-like
GO:0009888	Basal-like
GO:0009987	Basal-like
GO:0010719	Basal-like
GO:0010941	Basal-like
GO:0014031	Basal-like
GO:0014033	Basal-like
GO:0016054	Basal-like
GO:0019752	Basal-like
GO:0021904	Basal-like
GO:0022612	Basal-like
GO:0030850	Basal-like
GO:0030855	Basal-like
GO:0031017	Basal-like
GO:0031982	Basal-like
GO:0031988	Basal-like
GO:0032463	Basal-like
GO:0032501	Basal-like
GO:0032502	Basal-like
GO:0032534	Basal-like
GO:0032808	Basal-like
GO:0033145	Basal-like
GO:0033148	Basal-like
GO:0033540	Basal-like
GO:0035272	Basal-like
GO:0035295	Basal-like
GO:0035356	Basal-like
GO:0036500	Basal-like
GO:0040007	Basal-like
GO:0042127	Basal-like
GO:0042802	Basal-like
GO:0042981	Basal-like
GO:0043067	Basal-like
GO:0043226	Basal-like
GO:0043227	Basal-like
GO:0043230	Basal-like
GO:0043436	Basal-like
GO:0044331	Basal-like
GO:0044421	Basal-like
GO:0044424	Basal-like
GO:0044444	Basal-like
GO:0044464	Basal-like
GO:0044699	Basal-like
GO:0044707	Basal-like
GO:0044711	Basal-like
GO:0044763	Basal-like
GO:0044767	Basal-like
GO:0046395	Basal-like
GO:0048513	Basal-like
GO:0048523	Basal-like
GO:0048565	Basal-like
GO:0048608	Basal-like
GO:0048671	Basal-like
GO:0048731	Basal-like
GO:0048762	Basal-like
GO:0048856	Basal-like
GO:0048864	Basal-like
GO:0048869	Basal-like
GO:0050793	Basal-like
GO:0050896	Basal-like
GO:0051128	Basal-like
GO:0055123	Basal-like
GO:0060428	Basal-like
GO:0060429	Basal-like
GO:0060433	Basal-like
GO:0060479	Basal-like
GO:0060487	Basal-like
GO:0060512	Basal-like
GO:0060525	Basal-like
GO:0060526	Basal-like
GO:0060527	Basal-like
GO:0060644	Basal-like
GO:0060684	Basal-like
GO:0060687	Basal-like
GO:0060741	Basal-like
GO:0060742	Basal-like
GO:0061140	Basal-like
GO:0061218	Basal-like
GO:0061458	Basal-like
GO:0065010	Basal-like
GO:0070062	Basal-like
GO:0070254	Basal-like
GO:0071073	Basal-like
GO:0071236	Basal-like
GO:0071481	Basal-like
GO:0072329	Basal-like
GO:1900101	Basal-like
GO:1900102	Basal-like
GO:1900103	Basal-like
GO:1902236	Basal-like
GO:1903561	Basal-like
GO:1903894	Basal-like
GO:1903896	Basal-like
GO:1903897	Basal-like
GO:2000010	Basal-like
GO:2000047	Basal-like
GO:0005488	Luminal B
GO:0005623	Luminal B
GO:0005737	Luminal B
GO:0007275	Luminal B
GO:0009653	Luminal B
GO:0009888	Luminal B
GO:0009987	Luminal B
GO:0010941	Luminal B
GO:0030855	Luminal B
