"ID"	"Name"	"Depth"	"IsLeaf"	"InCancer"	"Ba"	"N"	"A"	"B"	"H"
"GO:0001655"	"urogenital system development"	4	FALSE	TRUE	""	""	"PTTG1 ASPM TRIP13 RACGAP1 TOP2A CCNB1 CDK1 MKI67 NEK2 AURKA CDC20 CKS2 TK1 EXO1 KIFC1 FBXO5 ESPL1 PLK1 ASF1B CCNE1 SMC4 CTSV E2F1 NME5 RAD51 CDC25B SFRP1"	""	""
"GO:0002067"	"glandular epithelial cell differentiation"	7	TRUE	FALSE	""	""	"CHEK1 BLM KPNA2 RAD51AP1 PARPBP POLQ RAD51"	""	""
"GO:0002070"	"epithelial cell maturation"	5	TRUE	TRUE	""	"KIF4A PRC1 RACGAP1 AURKB KIF23"	"KIF4A PRC1 RACGAP1 KIF23 AURKB"	""	""
"GO:0002162"	"dystroglycan binding"	5	TRUE	TRUE	""	"KIF2C TTK PTTG1 CDC20 DLGAP5 UBE2C CDCA8 NDC80 CCNB1 MAD2L1 NCAPG KIF14 BUB1B CENPE CENPF NCAPH NUSAP1 KIFC1 KIF18A PLK1 NEK2 SPAG5"	"KIF2C CCNB1 UBE2C TTK DLGAP5 PTTG1 MAD2L1 NUSAP1 CDCA8 NDC80 BUB1B CDC20 CENPE KIF14 CENPF NCAPG NEK2 KIFC1 ESPL1 NCAPH SPAG5 ZWINT FBXO5 KIF18A PLK1 KIF18B BUB1 SMC4 DSCC1 PTTG3P CDCA5 SPDL1"	""	""
"GO:0003006"	"developmental process involved in reproduction"	2	FALSE	TRUE	""	"UBE2C TTK BIRC5 CCNA2 CDC20 MAD2L1 CCNB1 AURKB"	"UBE2C TTK BIRC5 CCNA2 CCNB1 CDK1 MAD2L1 BUB1B AURKB TOP2A CHEK1 CDC45 CCNE2 CDC20 CENPF GTSE1 BLM ZWINT DTL CDC6 E2F1 FANCI PLK1 CDT1 BUB1 PSMA7 PSMD14 SPDL1 KNTC1 DNA2 ZWILCH H2AFX PSMD7 PSMD2 PSMA4 SOX11 PSMD12 CHEK2 PSMB5 RFWD3 PSMB3 PSME2 BRCA1 CASC5 MSH2 PSMA5 PSMB9 TIPIN PSMB4 DCLRE1B FANCG NDRG1 PSMC4 PSMD3 RBM38 PSMB2 PSMD1 TICRR"	""	""
"GO:0003674"	"molecular_function"	0	FALSE	TRUE	""	""	"CDC45 CDT1 CDC6 DNA2 TIPIN NAE1 TICRR"	""	""
"GO:0005488"	"binding"	2	FALSE	FALSE	""	"UBE2C CCNA2"	"CCNA2 UBE2C CDKN3 BLM CKS2 CCNE2 CDC6 CDC25A STIL CKS1B PLK1 PKMYT1 GTPBP4 PSRC1"	""	""
"GO:0005575"	"cellular_component"	0	FALSE	TRUE	""	"MCM10 CDK1 CCNB1 RRM2 KIF14 CDC45 CKS1B CDKN3 MCM2 CCNE2 CDC6 DBF4 EZH2 MCM4 TYMS CDC7 CDT1 ORC6 CCNE1 E2F1 GTSE1 MCM5"	"CCNB1 CDK1 EZH2 RRM2 CCNE2 CDC7 CDC45 CDKN3 MCM6 TYMS KIF14 CDC6 MCM4 MCM10 GTSE1 CDT1 CKS1B MCM2 MCM7 CDC25A FBXO5 E2F1 MCM5 CCNE1 ORC6 MCM3 DBF4 PSMD14 PCNA PSMA7 POLE2 DHFR ORC1 PSMD2 PKMYT1 PSMD7 PSMA4 EIF4EBP1 POLA2 PRIM1 SKP2 PSMD12 PPAT PSMB5 PSMA5 PSMC4 RFWD3 PSMB3 PSME2 PSMD1 PSMB4 PSMB2 PRIM2 RBM38 BID ID4 PSMB9 PSMD3 PSMA1 CDCA5 E2F7 BCAT1 PSMC1 TFDP1 ZPR1 PSMD8"	""	""
"GO:0005576"	"extracellular region"	2	FALSE	TRUE	""	"CDK1 RRM2 CDT1 CDC6 E2F1 CDC45 TYMS FBXO5 CCNE1"	"CDK1 RRM2 CDC6 CDC45 CDT1 FBXO5 E2F1 TYMS CCNE1 DHFR PCNA ORC1"	""	""
"GO:0005623"	"cell"	2	FALSE	TRUE	""	"CCNA2 MELK KIF14 BIRC5 FOXM1"	"CCNA2 BIRC5 CCNB1 AURKA MELK CDK1 FOXM1 CCNB2 CHEK1 KIF14 BLM CENPF NEK2 MYBL2 FANCI PLK4 CDC25A PLK1 CDC7 CDC25B PKMYT1 TUBB SKP2 MASTL BORA"	""	""
"GO:0005737"	"cytoplasm"	4	FALSE	TRUE	"NDC80 CENPA GPSM2"	""	"NDC80 CENPA GPSM2 SPDL1"	""	""
"GO:0007275"	"multicellular organismal development"	3	FALSE	TRUE	""	"ASPM AURKA"	"AURKA ASPM ESPL1 FBXO5"	""	""
"GO:0008150"	"biological_process"	0	FALSE	TRUE	""	"TPX2 TTK CENPA NDC80 BIRC5 ASPM PRC1 KIF2C KIF20A CDK1 AURKA CCNB1 MYBL2 KIF11 RACGAP1 AURKB KIF23 CHEK1"	"KIF2C TTK TPX2 RACGAP1 CCNB1 PRC1 NUSAP1 NDC80 BIRC5 CDK1 AURKA KIF4A KIF11 CHEK1 CENPA KIF20A ASPM CENPE TACC3 KIF23 AURKB NEK2 ESPL1 SPAG5 PLK4 STMN1 MYBL2 SPC25 KIFC1 FBXO5 KIF18A PLK1 STIL KIAA0101 KIF18B ECT2 GPSM2 TUBA1B SKA1 SKA3 GAPDH MAPT TUBB BORA SPDL1 PSRC1 GAS2L3"	""	""
"GO:0008283"	"cell proliferation"	2	FALSE	TRUE	"FOXC1 TTK MELK TPX2 FOXA1 NDC80 KIF2C BTG3 TCF7L1 CEP55 CCNA2 MCM5 E2F3 CHEK1 FOXM1 CDCA3"	"TPX2 CCNA2 TTK CENPA KIF2C CEP55 DLGAP5 MELK ASPM UBE2C CCNB2 CDC20 CDCA8 NDC80 PTTG1 FOXM1 CHEK1 AURKB MCM10 AURKA MAD2L1 BIRC5 RRM2 CDC45 MYBL2 CENPN CDCA3 NCAPG KIF14 CCNB1 KIF4A CDK1 PRC1 KIF23 BUB1B NCAPH KIF20A RACGAP1 CENPE GTSE1 CDKN3 MCM5 KIF11 KIFC1 CCNE1 CENPF STIL EZH2 MCM6 FAM64A E2F8 NUSAP1 STMN1 PLK1 CKS1B DBF4 TYMS CDC7 TOP2A BLM KIF18A BUB1 CDC25A MCM7 FEN1 KIF15 RFC4"	"PTTG1 KIF2C TTK DLGAP5 BUB1B CCNA2 RRM2 UBE2C BIRC5 FOXM1 TPX2 CEP55 RACGAP1 CCNB1 CDK1 AURKA CHEK1 KIF4A PRC1 MAD2L1 NUSAP1 NDC80 MELK KIF11 CENPN KIF23 CDCA8 CENPA ASPM CDKN3 EZH2 CCNB2 KIF20A TOP2A BLM AURKB KIF14 CCNE2 MCM10 PLK4 NEK2 CDC20 CENPE CENPF SPAG5 MCM6 FEN1 CENPM CENPU CDC45 MYBL2 SPC25 FAM64A KIF15 ESPL1 ZWINT GTSE1 CDC6 CDC25A PBK E2F8 KIFC1 NCAPG NCAPH CDT1 CKS1B TYMS MCM2 STMN1 UBE2S CDCA3 E2F1 CDC7 MCM4 MCM7 OIP5 CCNE1 FANCI BUB1 STIL NCAPG2 FBXO5 PSMA7 MCM5 MCM3 RFC4 ORC6 ERCC6L PLK1 SMC4 DBF4 MIS18A CENPI GINS1 CDC25B KIF18A DSCC1 PSMD14 GPSM2 HELLS GINS3 KIF18B GINS2 SMC2 PKMYT1 KNTC1 TIMELESS RBL1 RFC3 PTTG3P ZWILCH BORA PSRC1 POLE2 SKA1 SPDL1 DHFR TUBB GMNN RFC2 VRK1 DSN1 NCAPD2 PCNA BRCA2 SKP2 PSMD7 ORC1 POLA2 CKAP2 CDC25C PSMD2 EIF4EBP1 DNA2 PSMD12 ANLN NUP155 SKA3 NUP93 PSMA4 RFWD3 KIF20B CDCA2 CENPW FAM83D NUF2 IGF1 MASTL SGOL2 KNSTRN PSMB5 PRIM1 POLD1 CDCA5 CCNF SAC3D1 STK26 CENPO CASC5 RAD21 NUP205 RFC5 CENPK MSH2 TIPIN TUBA4A SKA2 CIT PRIM2 MYB CKAP5 NUP85"	""	""
"GO:0009653"	"anatomical structure morphogenesis"	2	FALSE	TRUE	"NDC80 TTK KIF2C TPX2"	"KIF2C TTK TPX2 CCNA2 CDCA8 CDC20 DLGAP5 ASPM PTTG1 UBE2C CCNB2 TRIP13 NDC80 AURKB MAD2L1 BIRC5 CDK1 KIF14 CCNB1 RACGAP1 CHEK1 NCAPG MYBL2 CDCA3 AURKA KIF4A BUB1B NCAPH KIF11 FAM64A MKI67 KIF23 CENPF CKS2 KIFC1 TOP2A CENPE NUSAP1 KIF18A NEK2 PLK1 UBE2S"	"KIF2C TTK DLGAP5 CCNA2 PTTG1 CCNB1 KIF4A UBE2C BUB1B BIRC5 TPX2 RACGAP1 CDK1 MAD2L1 NUSAP1 CDCA8 NDC80 TRIP13 AURKA CHEK1 KIF11 ASPM TOP2A CCNB2 KIF14 MKI67 CDC20 KIF23 CENPE NEK2 CKS2 SPC25 AURKB CENPF KIF15 CDCA3 KIFC1 NCAPG FAM64A ESPL1 NCAPH UBE2S ZWINT MYBL2 FBXO5 CDC25A SPAG5 CDC6 PBK OIP5 KIF18A ERCC6L PLK1 RAD51 SMC4 BUB1 KIF18B DSCC1 CDC25B NCAPG2 HELLS FANCA PKMYT1 MIS18A RAD54B RAD54L PTTG3P ANLN SPDL1 SKA1 ZWILCH BORA SKA3 PSRC1 CENPW IGF1 CDCA5 FAM83D NUF2 MASTL TIMELESS VRK1 SMC2 KNSTRN KNTC1 CDCA2"	""	""
"GO:0009750"	"response to fructose"	7	TRUE	TRUE	""	"CEP55 KIF20A RACGAP1 KIF4A NUSAP1 KIF23"	"RACGAP1 CEP55 KIF4A NUSAP1 KIF20A KIF23 PLK1 ANLN"	""	""
